Unnamed: 0,Menu,Energy (kJ),Protein (g),Fat (g),Carbohydrates (g),Dietary Fiber (g),PUFA (g),Cholesterol (mg),Vitamin A (mg),Vitamin E (eq.) (mg),Vitamin B1 (mg),Vitamin B2 (mg),Vitamin B6 (mg),Total Folic Acid (µg),Vitamin C (mg),Sodium (mg),Potassium (mg),Calcium (mg),Magnesium (mg),Phosphorus (mg),Iron (mg),Zinc (mg)
831,fujimie (terigu. tapioka. garam. gula.,2096,6.0,25.7,62.1,2.5,14.8,0.0,5.0,2.0,0.15,0.04,0.24,20,23.0,3,236,22,19.0,107,1.2,0.6
832,garam,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,38724,8,45,2.0,0,0.1,0.0
833,garam kasar,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,38724,8,45,2.0,0,0.1,0.0
834,geblek pati,2021,2.2,25.6,63.8,3.0,14.7,0.0,12.0,2.0,0.26,0.04,0.58,30,60.0,4,486,38,20.0,140,1.6,0.6
835,geblog ubi,941,1.3,6.9,41.6,2.7,0.1,0.0,4.0,0.0,0.09,0.02,0.19,14,19.0,13,286,31,18.0,69,1.3,0.4
836,gembong/jalabia,1678,1.8,26.1,40.9,0.7,14.0,0.0,0.0,2.0,0.02,0.02,0.04,3,0.0,8,103,18,16.0,36,0.6,0.4
837,getuk,774,1.2,2.6,40.9,1.9,0.1,0.0,5.0,0.0,0.11,0.02,0.25,14,25.0,3,230,17,11.0,67,0.9,0.3
838,getuk tiwul,3406,21.3,59.1,62.0,13.6,11.1,0.0,4.0,24.0,0.3,0.8,0.3,73,20.0,24,1018,297,314.0,589,5.0,3.3
839,gulai daging kambing belu,958,20.1,15.7,0.6,0.4,0.6,60.0,0.0,0.0,0.07,0.12,0.27,6,0.0,43,286,4,20.0,160,1.5,3.3
840,gulasakarin,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0,0.0,0.0
841,hallo boy (terigu. tapioka. udang wijen,2096,6.0,25.7,62.1,2.5,14.8,0.0,5.0,2.0,0.15,0.04,0.24,20,23.0,3,236,22,19.0,107,1.2,0.6
842,halus manis,1619,0.0,0.0,99.9,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0,0.0,1,2,1,0.0,2,0.1,0.0
843,hati ayam rebus belu,657,24.4,5.5,0.9,0.0,0.9,631.0,11325.0,0.0,0.36,2.7,0.4,590,23.0,51,140,14,21.0,312,8.5,4.3
844,hunkwe,213,1.0,1.6,9.4,1.0,0.0,0.0,6.0,1.0,0.03,0.08,0.02,91,7.0,117,59,85,62.0,26,1.6,0.6
845,jagung rebus campur kagang hijau belu,67,0.6,0.2,3.6,0.5,0.1,0.0,2.0,0.0,0.03,0.01,0.01,12,1.0,2,38,1,5.0,17,0.1,0.1
846,jahe,276,2.1,0.3,15.3,2.1,0.2,0.0,0.0,0.0,0.06,0.03,0.2,23,8.0,5,249,33,17.0,53,0.3,0.3
847,jalabia,787,2.2,4.2,35.5,1.3,0.1,0.0,0.0,0.0,0.02,0.02,0.04,5,0.0,3,65,4,14.0,42,0.5,0.4
848,jamu beras kencur,188,0.1,0.0,11.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,2,0,1.0,2,0.0,0.0
849,jamu lempuyang,188,0.1,0.0,11.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,2,0,1.0,2,0.0,0.0
850,jangung bose campur kacang hijau belu,67,0.6,0.2,3.7,0.5,0.1,0.0,2.0,0.0,0.03,0.01,0.01,10,1.0,2,38,1,5.0,17,0.1,0.1
851,jelly,665,1.7,0.6,39.6,1.3,0.0,0.0,12.0,1.0,0.05,0.16,0.03,180,13.0,233,90,168,121.0,43,2.9,1.2
852,jeruk,577,11.2,2.2,25.9,5.2,0.5,0.0,1167.0,1.0,0.09,0.62,0.5,304,61.0,226,1903,734,125.0,176,49.0,2.4
853,kacang atom,2289,23.9,44.3,22.6,7.7,14.1,0.0,0.0,8.0,0.23,0.1,0.25,114,0.0,16,643,84,155.0,349,4.2,3.1
854,kacang dadap,2506,23.2,54.3,14.5,7.7,19.8,0.0,0.0,9.0,0.23,0.1,0.23,113,0.0,16,635,83,151.0,338,4.1,3.0
855,kacang garing rege,2297,23.2,44.3,24.5,7.7,14.0,0.0,0.0,8.0,0.23,0.1,0.23,113,0.0,16,635,83,151.0,339,4.2,3.0
856,kacang shanghai,2506,23.2,54.3,14.5,7.7,19.8,0.0,0.0,9.0,0.23,0.1,0.23,113,0.0,16,635,83,151.0,338,4.1,3.0
857,kacang sukro,2448,22.1,51.8,17.0,7.3,19.1,0.0,0.0,8.0,0.21,0.09,0.22,107,0.0,16,601,79,143.0,322,3.9,2.8
858,kacang telur,2464,21.9,51.8,18.3,7.3,19.1,0.0,0.0,8.0,0.21,0.09,0.22,107,0.0,16,599,78,143.0,320,3.9,2.8
859,karoket,950,3.6,18.2,13.0,0.9,8.8,9.0,0.0,1.0,0.07,0.03,0.21,6,8.0,8,267,3,17.0,49,0.4,0.6
860,kayu manis,1092,3.9,3.2,79.8,54.3,0.5,0.0,26.0,1.0,0.08,0.14,1.0,223,28.0,26,500,1228,56.0,61,38.1,2.0
861,kecap,251,10.5,0.1,5.6,0.8,0.0,0.0,0.0,0.0,0.06,0.15,0.2,18,0.0,5586,212,20,40.0,130,2.4,0.4
862,kecap asin,163,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0,0.0,0.0
863,keluwek,1360,12.7,13.8,58.2,33.2,4.0,0.0,99.0,1.0,0.25,0.28,1.2,281,11.0,52,1543,478,254.0,349,29.6,4.1
864,kenji,2096,6.0,25.7,62.1,2.5,14.8,0.0,5.0,2.0,0.15,0.04,0.24,20,23.0,3,236,22,19.0,107,1.2,0.6
865,keong mas,866,4.4,2.0,42.9,0.6,0.3,72.0,32.0,0.0,0.03,0.1,0.03,11,0.0,22,45,12,7.0,54,0.5,0.3
866,kerupuk aci,1594,0.3,0.1,91.3,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,9,3,2,3.0,13,0.5,0.1
867,kerupuk gaplek,1523,2.6,0.7,88.5,3.7,0.2,0.0,14.0,0.0,0.31,0.05,0.7,36,72.0,6,583,46,24.0,170,2.0,0.7
868,kerupuk ikan berpati,1406,15.2,0.7,63.9,0.6,0.2,36.0,9.0,1.0,0.06,0.05,0.18,8,1.0,57,163,10,30.0,100,0.7,0.5
869,kerupuk ketan putih,1594,0.3,0.1,91.3,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,9,3,2,3.0,13,0.5,0.1
870,kerupuk legender,1259,2.5,0.7,73.4,3.5,0.2,0.0,14.0,0.0,0.3,0.05,0.67,35,69.0,5,559,44,23.0,161,1.8,0.7
871,kerupuk singkong,1205,2.4,0.7,70.2,3.3,0.2,0.0,13.0,0.0,0.29,0.04,0.64,33,66.0,4,535,42,22.0,154,1.8,0.7
872,kerupuk singkong pedas,1205,2.4,0.7,70.2,3.3,0.2,0.0,13.0,0.0,0.29,0.04,0.64,33,66.0,4,535,42,22.0,154,1.8,0.7
873,kerupuk terigu mentah,1523,10.3,1.0,76.3,2.7,0.4,0.0,0.0,0.0,0.1,0.04,0.04,18,0.0,2,107,15,22.0,108,1.2,0.7
874,kerupuk udang,2297,6.5,28.4,66.6,0.7,0.6,59.0,19.0,1.0,0.01,0.01,0.04,1,1.0,74,57,13,12.0,50,1.3,0.6
875,kerupuk udang berpati,1502,17.3,1.0,66.6,0.7,0.3,160.0,52.0,3.0,0.02,0.02,0.11,3,2.0,191,151,33,30.0,121,2.9,1.4
876,kerupuk upik singkong mentah,1314,2.6,0.7,76.6,3.6,0.2,0.0,14.0,0.0,0.31,0.05,0.7,36,72.0,5,583,46,24.0,168,1.9,0.7
877,ketumbar halus,2590,25.9,41.2,62.9,38.3,16.0,0.0,103.0,2.0,0.61,0.33,1.28,329,11.0,72,1747,544,428.0,737,33.5,9.3
878,ketumbar kasar,1360,12.7,13.8,58.2,33.2,4.0,0.0,99.0,1.0,0.25,0.28,1.2,281,11.0,52,1543,478,254.0,349,29.6,4.1
879,ketupat,84,0.4,0.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0,0.0,0,4,0,2.0,6,0.0,0.1
880,koci,858,3.4,4.2,38.7,2.3,0.2,0.0,0.0,0.0,0.05,0.03,0.06,36,0.0,3,107,8,22.0,65,0.8,0.6
881,kolang-kaling,812,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0,0.0,1,1,1,0.0,1,0.1,0.0
882,kopi made up (belu),8,0.1,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,3,36,3,4.0,3,0.1,0.0
883,kopi susu (jagung. tepung beras. tapio,1490,3.2,3.4,80.7,2.9,1.8,0.0,0.0,1.0,0.16,0.09,0.12,10,0.0,15,116,3,51.0,97,1.5,0.7
884,kopi-kopi (jagung. tepung beras. tapiok,1490,3.2,3.4,80.7,2.9,1.8,0.0,0.0,1.0,0.16,0.09,0.12,10,0.0,15,116,3,51.0,97,1.5,0.7
885,koya,787,2.2,4.2,35.5,1.3,0.1,0.0,0.0,0.0,0.02,0.02,0.04,5,0.0,3,65,4,14.0,42,0.5,0.4
886,krawu ubi,774,1.2,2.6,40.8,1.9,0.1,0.0,5.0,0.0,0.11,0.02,0.25,14,25.0,3,229,17,11.0,67,0.9,0.3
887,krecek singkong mentah,1096,2.2,0.6,63.8,3.0,0.2,0.0,12.0,0.0,0.26,0.04,0.58,30,60.0,4,486,38,20.0,140,1.6,0.6
888,krupuk aladin,2205,3.0,30.3,59.7,1.1,17.5,0.0,0.0,2.0,0.03,0.01,0.01,5,0.0,4,31,5,7.0,36,0.5,0.2
889,krupuk asin,1824,7.2,13.7,70.4,1.9,7.8,0.0,0.0,1.0,0.07,0.03,0.03,13,0.0,2,75,11,15.0,76,0.9,0.5
890,krupuk bala bala,2205,3.0,30.3,59.7,1.1,17.5,0.0,0.0,2.0,0.03,0.01,0.01,5,0.0,4,31,5,7.0,36,0.5,0.2
891,krupuk bala bala,2205,3.0,30.3,59.7,1.1,17.5,0.0,0.0,2.0,0.03,0.01,0.01,5,0.0,4,31,5,7.0,36,0.5,0.2
892,krupuk fuji (chips-chips),3431,8.9,38.7,110.7,4.7,20.1,0.0,0.0,5.0,0.24,0.13,0.67,50,8.0,660,1039,29,65.0,193,2.0,0.8
893,krupuk jantan (tapioka. udang.wijen. b,2100,2.2,25.6,68.8,3.0,14.7,0.0,12.0,2.0,0.26,0.04,0.58,30,60.0,4,486,38,20.0,140,1.6,0.6
894,krupuk jazzy rp. 100 (ubi. bawang puti,2125,5.3,30.3,57.3,3.0,17.6,0.0,0.0,14.0,0.25,0.08,0.58,40,30.0,8,758,20,65.0,98,2.0,1.3
895,krupuk makanan ringan sinbad,1490,3.2,3.4,80.7,2.9,1.8,0.0,0.0,1.0,0.16,0.09,0.12,10,0.0,15,116,3,51.0,97,1.5,0.7
896,krupuk mlarat,2205,3.0,30.3,59.7,1.1,17.5,0.0,0.0,2.0,0.03,0.01,0.01,5,0.0,4,31,5,7.0,36,0.5,0.2
897,krupuk monas,2205,3.0,30.3,59.7,1.1,17.5,0.0,0.0,2.0,0.03,0.01,0.01,5,0.0,4,31,5,7.0,36,0.5,0.2
898,krupuk pasir,2205,3.0,30.3,59.7,1.1,17.5,0.0,0.0,2.0,0.03,0.01,0.01,5,0.0,4,31,5,7.0,36,0.5,0.2
899,krupuk raja udang bandeng,2205,3.0,30.3,59.7,1.1,17.5,0.0,0.0,2.0,0.03,0.01,0.01,5,0.0,4,31,5,7.0,36,0.5,0.2
900,krupuk rambakl,2205,3.0,30.3,59.7,1.1,17.5,0.0,0.0,2.0,0.03,0.01,0.01,5,0.0,4,31,5,7.0,36,0.5,0.2
901,krupuk sambal udang,2205,3.0,30.3,59.7,1.1,17.5,0.0,0.0,2.0,0.03,0.01,0.01,5,0.0,4,31,5,7.0,36,0.5,0.2
902,krupuk tempe,1038,15.2,16.2,13.6,1.1,9.2,0.0,1.0,1.0,0.1,0.09,0.24,42,0.0,5,294,74,56.0,165,1.8,1.4
903,krupuk tempe besar rp. 500,1038,15.2,16.2,13.6,1.1,9.2,0.0,1.0,1.0,0.1,0.09,0.24,42,0.0,5,294,74,56.0,165,1.8,1.4
904,krupuk udang,2205,3.0,30.3,59.7,1.1,17.5,0.0,0.0,2.0,0.03,0.01,0.01,5,0.0,4,31,5,7.0,36,0.5,0.2
905,krupuk yeye,2205,3.0,30.3,59.7,1.1,17.5,0.0,0.0,2.0,0.03,0.01,0.01,5,0.0,4,31,5,7.0,36,0.5,0.2
906,kue bangke mentga,1958,1.8,32.9,44.3,3.5,11.8,18.0,8.0,2.0,0.03,0.03,0.02,11,1.0,14,138,8,13.0,52,1.0,0.5
907,kue bapuk/bakpau,732,5.1,0.5,37.2,2.1,0.2,0.0,0.0,0.0,0.07,0.03,0.03,44,0.0,2,89,10,17.0,67,0.9,0.5
908,kue baruasa,787,2.2,4.2,35.5,1.3,0.1,0.0,0.0,0.0,0.02,0.02,0.04,5,0.0,3,65,4,14.0,42,0.5,0.4
909,kue bipan,849,2.5,4.2,39.0,1.3,0.1,0.0,0.0,0.0,0.03,0.02,0.05,5,0.0,3,68,4,15.0,46,0.5,0.5
910,kue bolu,866,4.4,2.0,42.9,0.6,0.3,72.0,32.0,0.0,0.03,0.1,0.03,11,0.0,22,45,12,7.0,54,0.5,0.3
911,kue bolu coklat bundar,866,4.4,2.0,42.9,0.6,0.3,72.0,32.0,0.0,0.03,0.1,0.03,11,0.0,22,45,12,7.0,54,0.5,0.3
912,kue bolu gulung,866,4.4,2.0,42.9,0.6,0.3,72.0,32.0,0.0,0.03,0.1,0.03,11,0.0,22,45,12,7.0,54,0.5,0.3
913,kue bolu kacang,987,4.1,3.2,47.2,1.4,1.0,0.0,0.0,1.0,0.04,0.02,0.03,12,0.0,4,69,10,16.0,52,0.7,0.4
914,kue bolu kenari,866,4.4,2.0,42.9,0.6,0.3,72.0,32.0,0.0,0.03,0.1,0.03,11,0.0,22,45,12,7.0,54,0.5,0.3
915,kue bolu kering,866,4.4,2.0,42.9,0.6,0.3,72.0,32.0,0.0,0.03,0.1,0.03,11,0.0,22,45,12,7.0,54,0.5,0.3
916,kue bolu kukus,866,4.4,2.0,42.9,0.6,0.3,72.0,32.0,0.0,0.03,0.1,0.03,11,0.0,22,45,12,7.0,54,0.5,0.3
917,kue bolu rp. 100,866,4.4,2.0,42.9,0.6,0.3,72.0,32.0,0.0,0.03,0.1,0.03,11,0.0,22,45,12,7.0,54,0.5,0.3
918,kue cikak,728,3.8,0.3,38.3,1.5,0.1,0.0,0.0,0.0,0.06,0.03,0.07,39,0.0,1,79,7,23.0,65,0.7,0.6
919,kue dadar,787,2.2,4.2,35.5,1.3,0.1,0.0,0.0,0.0,0.02,0.02,0.04,5,0.0,3,65,4,14.0,42,0.5,0.4
920,kue dadar gulung,1209,5.7,8.4,48.3,2.7,0.4,56.0,25.0,0.0,0.06,0.09,0.04,17,1.0,21,124,15,15.0,82,1.1,0.6
921,kue donat rp. 100,1674,5.2,21.8,46.3,1.0,11.9,36.0,24.0,1.0,0.05,0.09,0.03,11,0.0,20,71,28,10.0,68,0.6,0.4
922,kue endog-endogan/onde- onde,1443,5.7,12.9,52.9,3.2,7.0,0.0,1.0,1.0,0.12,0.04,0.08,62,0.0,2,124,59,37.0,101,1.7,0.9
923,kue gelangan/jalabria,1678,1.8,26.1,40.9,0.7,14.0,0.0,0.0,2.0,0.02,0.02,0.04,3,0.0,8,103,18,16.0,36,0.6,0.4
924,kue gonjing/kue pancong,787,2.2,4.2,35.5,1.3,0.1,0.0,0.0,0.0,0.02,0.02,0.04,5,0.0,3,65,4,14.0,42,0.5,0.4
925,kue jalankote,1046,2.2,7.8,43.9,2.3,0.2,0.0,0.0,0.0,0.03,0.02,0.04,7,1.0,5,100,5,15.0,49,0.7,0.5
926,kue jalankote (isinya saja),1552,1.7,16.8,57.6,4.5,0.2,0.0,0.0,1.0,0.04,0.02,0.03,13,2.0,11,179,8,16.0,58,1.3,0.6
927,kue janda,787,2.2,4.2,35.5,1.3,0.1,0.0,0.0,0.0,0.02,0.02,0.04,5,0.0,3,65,4,14.0,42,0.5,0.4
928,kue kambeng-kambeng,787,2.2,4.2,35.5,1.3,0.1,0.0,0.0,0.0,0.02,0.02,0.04,5,0.0,3,65,4,14.0,42,0.5,0.4
929,kue kareri sala,787,2.2,4.2,35.5,1.3,0.1,0.0,0.0,0.0,0.02,0.02,0.04,5,0.0,3,65,4,14.0,42,0.5,0.4
930,kue lapis,1686,5.7,22.9,44.3,0.7,12.0,106.0,48.0,2.0,0.04,0.14,0.04,16,0.0,32,59,17,8.0,71,0.6,0.5
931,kue lapis legit,1686,5.7,22.9,44.3,0.7,12.0,106.0,48.0,2.0,0.04,0.14,0.04,16,0.0,32,59,17,8.0,71,0.6,0.5
932,kue lemet,2105,2.2,25.6,69.0,3.0,14.7,0.0,12.0,2.0,0.26,0.04,0.58,30,60.0,4,486,38,20.0,140,1.6,0.6
933,kue mangkok/cimplo/apem,787,2.2,4.2,35.5,1.3,0.1,0.0,0.0,0.0,0.02,0.02,0.04,5,0.0,3,65,4,14.0,42,0.5,0.4
934,kue nagasari,774,2.1,2.8,39.9,2.7,0.2,0.0,6.0,0.0,0.05,0.09,0.49,18,7.0,2,355,7,31.0,41,0.5,0.4
935,kue pancong,1209,4.0,13.6,38.4,3.9,0.3,0.0,0.0,0.0,0.05,0.03,0.08,13,1.0,8,175,9,27.0,87,1.2,0.9
936,kue pati singkong goreng,1167,3.5,12.7,39.4,2.6,7.0,0.0,1.0,1.0,0.1,0.04,0.08,57,0.0,2,102,56,34.0,81,1.4,0.8
937,kue pia kac. ijo,950,4.2,0.8,52.2,2.7,0.2,21.0,10.0,0.0,0.09,0.06,0.05,86,0.0,8,124,13,23.0,77,1.2,0.6
938,kue pisang ijo + kuah,1038,2.6,0.3,58.1,1.1,0.1,0.0,1.0,0.0,0.03,0.02,0.06,6,1.0,3,58,5,8.0,31,0.4,0.2
939,kue pisang molen rp. 100,787,5.6,2.2,37.1,2.3,0.4,64.0,33.0,0.0,0.07,0.15,0.38,23,5.0,20,289,16,26.0,70,0.7,0.5
940,kue putri salju,1209,4.0,13.6,38.4,3.9,0.3,0.0,0.0,0.0,0.05,0.03,0.08,13,1.0,8,175,9,27.0,87,1.2,0.9
941,kue putu beras,787,2.2,4.2,35.5,1.3,0.1,0.0,0.0,0.0,0.02,0.02,0.04,5,0.0,3,65,4,14.0,42,0.5,0.4
942,kue roko'-roko' unti rp. 50 (nagasari),619,1.7,2.6,30.6,1.7,0.1,0.0,3.0,0.0,0.03,0.05,0.26,10,4.0,2,197,5,20.0,33,0.4,0.3
943,kue sakura,866,4.4,2.0,42.9,0.6,0.3,72.0,32.0,0.0,0.03,0.1,0.03,11,0.0,22,45,12,7.0,54,0.5,0.3
944,kue telur gabus/kue kontol bebek,866,4.4,2.0,42.9,0.6,0.3,72.0,32.0,0.0,0.03,0.1,0.03,11,0.0,22,45,12,7.0,54,0.5,0.3
945,kue timus,908,7.8,8.0,28.9,3.8,0.6,398.0,1901.0,6.0,0.15,0.33,0.39,63,28.0,78,511,61,32.0,167,2.4,1.0
946,kue uler-uleran,866,4.4,2.0,42.9,0.6,0.3,72.0,32.0,0.0,0.03,0.1,0.03,11,0.0,22,45,12,7.0,54,0.5,0.3
947,kulit,2209,3.0,30.3,60.0,1.1,17.5,0.0,0.0,2.0,0.03,0.01,0.01,5,0.0,4,31,5,7.0,36,0.5,0.2
948,kunci,1360,12.7,13.8,58.2,33.2,4.0,0.0,99.0,1.0,0.25,0.28,1.2,281,11.0,52,1543,478,254.0,349,29.6,4.1
949,kunyit,1360,12.7,13.8,58.2,33.2,4.0,0.0,99.0,1.0,0.25,0.28,1.2,281,11.0,52,1543,478,254.0,349,29.6,4.1
950,laos,1360,12.7,13.8,58.2,33.2,4.0,0.0,99.0,1.0,0.25,0.28,1.2,281,11.0,52,1543,478,254.0,349,29.6,4.1
951,lemper,787,2.2,4.2,35.5,1.3,0.1,0.0,0.0,0.0,0.02,0.02,0.04,5,0.0,3,65,4,14.0,42,0.5,0.4
952,lemper bakar,828,4.7,5.7,32.1,1.2,0.5,8.0,4.0,0.0,0.03,0.04,0.06,5,0.0,10,77,5,14.0,56,0.6,0.6
953,lengkuas,577,11.2,2.2,25.9,5.2,0.5,0.0,1167.0,1.0,0.09,0.62,0.5,304,61.0,226,1903,734,125.0,176,49.0,2.4
954,lodeh tahu and tempe,347,4.9,5.6,4.8,1.5,1.3,0.0,11.0,0.0,0.05,0.04,0.07,15,3.0,6,142,40,39.0,65,1.9,0.6
955,loder,79,0.5,0.8,3.2,1.1,0.0,0.0,24.0,0.0,0.02,0.02,0.03,11,8.0,1,107,11,8.0,13,0.3,0.1
956,lontong,787,2.2,4.2,35.5,1.3,0.1,0.0,0.0,0.0,0.02,0.02,0.04,5,0.0,3,65,4,14.0,42,0.5,0.4
957,lopis ketan,787,2.2,4.2,35.5,1.3,0.1,0.0,0.0,0.0,0.02,0.02,0.04,5,0.0,3,65,4,14.0,42,0.5,0.4
958,lumpia,527,5.0,3.7,17.7,1.0,0.4,74.0,91.0,0.0,0.04,0.1,0.04,13,0.0,25,69,13,8.0,61,0.6,0.5
959,martab ak kac abd meises?,1753,8.1,21.5,49.7,1.5,10.0,85.0,38.0,2.0,0.07,0.13,0.06,23,0.0,27,122,22,25.0,103,1.1,0.7
960,martabak,1335,7.7,18.1,31.0,1.3,9.3,87.0,69.0,2.0,0.06,0.13,0.06,23,3.0,29,94,24,13.0,87,0.9,0.6
961,martabak kacabd meises,1736,7.1,20.5,52.1,1.1,9.2,85.0,38.0,1.0,0.06,0.13,0.05,17,0.0,27,105,19,22.0,91,1.0,0.7
962,merica,1360,12.7,13.8,58.2,33.2,4.0,0.0,99.0,1.0,0.25,0.28,1.2,281,11.0,52,1543,478,254.0,349,29.6,4.1
963,merica halus,1360,12.7,13.8,58.2,33.2,4.0,0.0,99.0,1.0,0.25,0.28,1.2,281,11.0,52,1543,478,254.0,349,29.6,4.1
964,milna,1619,14.0,1.0,78.1,0.7,0.2,5.0,3.0,0.0,0.15,0.4,0.22,18,3.0,130,482,315,58.0,338,0.5,1.9
965,nagasari,891,2.5,8.8,33.5,4.1,0.9,0.0,6.0,0.0,0.08,0.1,0.37,35,7.0,6,436,9,35.0,49,0.8,0.5
966,oncom goreng,1678,1.8,26.1,40.9,0.7,14.0,0.0,0.0,2.0,0.02,0.02,0.04,3,0.0,8,103,18,16.0,36,0.6,0.4
967,onde onde,1167,3.5,12.7,39.4,2.6,7.0,0.0,1.0,1.0,0.1,0.04,0.08,57,0.0,2,102,56,34.0,81,1.4,0.8
968,onde onde singkong,1167,3.5,12.7,39.4,2.6,7.0,0.0,1.0,1.0,0.1,0.04,0.08,57,0.0,2,102,56,34.0,81,1.4,0.8
969,ongol-ongol,602,0.0,0.0,36.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0,0.0,8,63,16,6.0,6,0.4,0.1
970,opak,2100,2.2,25.6,68.8,3.0,14.7,0.0,12.0,2.0,0.26,0.04,0.58,30,60.0,4,486,38,20.0,140,1.6,0.6
971,opak kentang,2335,5.9,38.4,51.0,3.6,20.0,0.0,0.0,5.0,0.21,0.12,0.66,45,8.0,656,1008,24,58.0,157,1.5,0.6
972,orog orog,774,1.2,2.6,40.8,1.9,0.1,0.0,5.0,0.0,0.11,0.02,0.25,14,25.0,3,229,17,11.0,67,0.9,0.3
973,oseng oseng kool belu,477,0.5,12.2,2.3,1.4,0.3,0.0,7.0,0.0,0.03,0.03,0.06,10,10.0,4,49,16,4.0,8,0.1,0.1
974,ote ote,866,4.4,2.0,42.9,0.6,0.3,72.0,32.0,0.0,0.03,0.1,0.03,11,0.0,22,45,12,7.0,54,0.5,0.3
975,ovaltine (tepung),1418,9.0,2.4,79.9,5.0,0.1,3.0,1502.0,0.0,1.37,1.48,0.08,395,2.0,88,499,219,93.0,275,18.2,1.6
976,pandan,577,11.2,2.2,25.9,5.2,0.5,0.0,1167.0,1.0,0.09,0.62,0.5,304,61.0,226,1903,734,125.0,176,49.0,2.4
977,papais,305,1.3,1.8,16.2,2.7,0.9,0.0,463.0,0.0,0.04,0.1,0.21,10,22.0,5,216,16,16.0,31,0.8,0.3
978,pastel,1469,11.8,26.6,15.5,0.5,9.4,111.0,38.0,1.0,0.06,0.15,0.13,14,0.0,41,145,14,13.0,112,1.0,1.5
979,pepes ampela,393,14.1,3.8,0.0,0.0,0.2,35.0,0.0,0.0,0.05,0.08,0.19,4,0.0,30,192,3,13.0,110,1.0,2.3
980,pergedel kentang belu,1142,8.7,21.6,11.7,0.8,0.6,39.0,6.0,0.0,0.08,0.07,0.26,8,7.0,22,313,5,20.0,89,0.7,1.4
981,perkedel jagung,598,7.3,7.4,13.9,1.5,0.6,39.0,17.0,0.0,0.14,0.09,0.1,29,3.0,26,209,4,23.0,103,0.7,1.1
982,pipis/keyimus,774,1.2,2.6,40.8,1.9,0.1,0.0,5.0,0.0,0.11,0.02,0.25,14,25.0,3,229,17,11.0,67,0.9,0.3
983,pisang goreng,661,0.9,10.4,17.5,1.7,5.9,0.0,6.0,1.0,0.04,0.07,0.41,14,6.0,1,279,4,21.0,16,0.2,0.2
984,pisang molen,887,1.6,15.4,18.2,1.4,8.8,4.0,6.0,1.0,0.03,0.05,0.27,11,4.0,2,190,5,15.0,22,0.3,0.2
985,pop corn/lappo/benno,1841,6.9,18.1,65.4,6.2,10.0,0.0,40.0,2.0,0.33,0.17,0.26,21,0.0,30,244,5,108.0,205,3.0,1.5
986,promina,1619,14.0,1.0,78.1,0.7,0.2,5.0,3.0,0.0,0.15,0.4,0.22,18,3.0,130,482,315,58.0,338,0.5,1.9
987,rawon,866,4.4,2.0,42.9,0.6,0.3,72.0,32.0,0.0,0.03,0.1,0.03,11,0.0,22,45,12,7.0,54,0.5,0.3
988,rengginang,1728,6.0,10.5,71.5,0.8,6.0,0.0,0.0,1.0,0.05,0.05,0.13,5,0.0,0,73,8,33.0,93,0.5,1.0
989,rengginang ketan putih mentah,707,3.1,0.3,37.2,0.4,0.1,0.0,0.0,0.0,0.03,0.03,0.07,3,0.0,0,38,4,17.0,48,0.3,0.5
990,rengginang singkong mentah,1259,2.5,0.7,73.4,3.5,0.2,0.0,14.0,0.0,0.3,0.05,0.67,35,69.0,5,559,44,23.0,161,1.8,0.7
991,risoles,1033,10.3,7.6,33.3,1.4,0.5,60.0,19.0,0.0,0.09,0.1,0.18,15,4.0,25,233,13,21.0,108,1.0,1.2
992,salam,1155,22.4,4.4,51.7,10.3,0.9,0.0,2334.0,2.0,0.17,1.23,1.0,608,122.0,452,3805,1468,249.0,351,97.9,4.8
993,sambal,427,3.8,5.5,18.1,8.0,2.7,0.0,1332.0,0.0,0.11,0.29,0.6,28,24.0,10,644,47,49.0,94,2.5,0.8
994,semprong,703,0.2,1.4,38.8,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,3,15,1,2.0,8,0.2,0.1
995,sengkulun,787,2.2,4.2,35.5,1.3,0.1,0.0,0.0,0.0,0.02,0.02,0.04,5,0.0,3,65,4,14.0,42,0.5,0.4
